"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"191461","occ","7832","","19305","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2247"
"191473","occ","","","19309","Soricidae","family","40443","Miocene","","23.03","5.333","2880"
"191525","occ","","","19321","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2247"
"191536","occ","","","19322","Alluvisorex chasseae","species","46944","Clarendonian","","13.6","10.3","3627"
"191538","occ","","","19322","Sorex","genus","40486","Clarendonian","","13.6","10.3","3627"
"191556","occ","","","19323","Sorex","genus","40486","Clarendonian","","13.6","10.3","3627"
"191572","occ","","","19324","Sorex","genus","40486","Clarendonian","","13.6","10.3","3627"
"191765","occ","","","19383","Limnoecus","genus","40471","Clarendonian","","13.6","10.3","3627"
"191787","occ","","","19384","Alluvisorex chasseae","species","46944","Clarendonian","","13.6","10.3","3627"
"191789","occ","","","19384","Sorex","genus","40486","Clarendonian","","13.6","10.3","3627"
"191894","occ","","","19416","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192334","occ","","","19517","Alluvisorex chasseae","species","46944","Clarendonian","","13.6","10.3","3627"
"192335","occ","","","19517","Sorex","genus","40486","Clarendonian","","13.6","10.3","3627"
"192373","occ","","","19522","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192391","occ","","","19523","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192402","occ","","","19525","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192583","occ","","","19549","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2247"
"192590","occ","","","19550","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192632","occ","","","19557","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2243"
"192787","occ","","","19599","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","1995"
"192824","occ","","","19604","Cryptotis","genus","40464","Late Hemphillian","","10.3","4.9","2893"
"192845","occ","8347","","19605","Limnoecus tricuspis","species","47681","Barstovian","","15.97","13.6","2247"
"192856","occ","","","19610","Notiosorex","genus","40476","Late Hemphillian","","10.3","4.9","1024"
"192954","occ","8383","","19620","Soricidae","family","40443","Blancan","","4.9","1.8","6294"
"193137","occ","8437","","19646","Sorex taylori","species","51667","Blancan","","4.9","1.8","2583"
"193229","occ","","","19654","Notiosorex","genus","40476","Blancan","","4.9","1.8","6199"
"193230","occ","","","19654","Sorex","genus","40486","Blancan","","4.9","1.8","6199"
"193334","occ","","","19659","Sorex","genus","40486","Blancan","","4.9","1.8","6199"
"193454","occ","10219","","19705","Notiosorex","genus","40476","Blancan","","4.9","1.8","7756"
"193614","occ","","","19737","Sorex leahyi","species","51648","Blancan","","4.9","1.8","938"
"193626","occ","","","19738","Sorex leahyi","species","51648","Blancan","","4.9","1.8","938"
"193698","occ","8565","","19752","Blarina","genus","40457","Blancan","","4.9","1.8","2624"
"193827","occ","","","19774","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193838","occ","","","19778","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193847","occ","","","19782","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193852","occ","","","19785","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193854","occ","","","19786","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193866","occ","","","19790","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193874","occ","","","19795","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193890","occ","","","19800","Sorex palustris","species","51657","Blancan","","4.9","1.8","2878"
"193894","occ","","","19802","Sorex hagermanensis","species","51644","Blancan","","4.9","1.8","1896"
"193903","occ","","","19808","Sorex powersi","species","51660","Blancan","","4.9","1.8","1896"
"193926","occ","","","19815","Sorex meltoni","species","51651","Blancan","","4.9","1.8","1896"
"193944","occ","","","19817","Sorex rexroadensis","species","51662","Blancan","","4.9","1.8","1896"
"194078","occ","8688","","19903","Paracryptotis gidleyi","species","44541","Blancan","","4.9","1.8","6294"
"194093","occ","8693","","19904","Paracryptotis gidleyi","species","44541","Blancan","","4.9","1.8","6294"
"194102","occ","8698","","19906","Paracryptotis gidleyi","species","44541","Blancan","","4.9","1.8","6294"
"194103","occ","","","19906","Sorex powersi","species","51660","Blancan","","4.9","1.8","1896"
"194121","occ","","","19907","Soricidae","family","40443","Blancan","","4.9","1.8","1883"
"194133","occ","","","19910","Soricidae","family","40443","Blancan","","4.9","1.8","3118"
"194161","occ","","","19913","Soricidae","family","40443","Blancan","","4.9","1.8","3118"
"194220","occ","8745","","19922","Paracryptotis","genus","40479","Blancan","","4.9","1.8","1896"
"194250","occ","","","19927","Sorex taylori","species","51667","Blancan","","4.9","1.8","1894"
"194302","occ","8772","","19930","Soricidae","family","40443","Blancan","","4.9","1.8","6294"
"194303","occ","","","19930","Sorex leahyi","species","51648","Blancan","","4.9","1.8","1876"
"194304","occ","8773","","19930","Planisorex dixonensis","species","51640","Blancan","","4.9","1.8","6294"
"194305","occ","8774","","19930","Blarina brevicauda","species","51632","Blancan","","4.9","1.8","2046"
"194317","occ","","","19931","Sorex rexroadensis","species","51662","Blancan","","4.9","1.8","1869"
"194318","occ","","","19931","Paracryptotis rex","species","49801","Blancan","","4.9","1.8","1860"
"194319","occ","","","19931","Cryptotis meadensis","species","45374","Blancan","","4.9","1.8","1869"
