"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"194320","occ","8779","","19931","Cryptotis adamsi","species","44537","Blancan","","4.9","1.8","1869"
"194321","occ","","","19931","Notiosorex jacksoni","species","49235","Blancan","","4.9","1.8","1860"
"194349","occ","8790","","19932","Cryptotis adamsi","species","44537","Blancan","","4.9","1.8","1869"
"194350","occ","8791","","19932","Notiosorex jacksoni","species","49235","Blancan","","4.9","1.8","1869"
"194372","occ","","","19933","Cryptotis kansasensis","species","45373","Blancan","","4.9","1.8","1879"
"194376","occ","","","19934","Sorex taylori","species","51667","Blancan","","4.9","1.8","1894"
"194392","occ","","","19935","Sorex taylori","species","51667","Blancan","","4.9","1.8","1894"
"194406","occ","","","19936","Sorex taylori","species","51667","Blancan","","4.9","1.8","1894"
"194454","occ","","","19938","Sorex sandersi","species","51663","Blancan","","4.9","1.8","1876"
"194471","occ","","","19940","Paracryptotis rex","species","49801","Blancan","","4.9","1.8","1896"
"194489","occ","","","19941","Sorex sandersi","species","51663","Blancan","","4.9","1.8","1460"
"194490","occ","8832","","19941","Blarina brevicauda","species","51632","Blancan","","4.9","1.8","2046"
"194508","occ","","","19942","Sorex cinereus","species","51634","Blancan","","4.9","1.8","1460"
"194509","occ","","","19942","Sorex sandersi","species","51663","Blancan","","4.9","1.8","1460"
"194533","occ","","","19943","Sorex sandersi","species","51663","Blancan","","4.9","1.8","1460"
"194562","occ","","","19945","Sorex sandersi","species","51663","Blancan","","4.9","1.8","1460"
"194638","occ","","","19955","Sorex","genus","40486","Blancan","","4.9","1.8","1008"
"194696","occ","","","19963","Sorex sandersi","species","51663","Blancan","","4.9","1.8","2518"
"194697","occ","","","19963","Planisorex dixonensis","species","51640","Blancan","","4.9","1.8","2518"
"194736","occ","","","19964","Planisorex dixonensis","species","51640","Blancan","","4.9","1.8","2431"
"194737","occ","","","19964","Blarina","genus","40457","Blancan","","4.9","1.8","2431"
"194748","occ","","","19965","Notiosorex","genus","40476","Blancan","","4.9","1.8","2886"
"194932","occ","","","20017","Sorex","genus","40486","Blancan","","4.9","1.8","2886"
"194971","occ","","","20023","Sorex taylori","species","51667","Blancan","","4.9","1.8","1309"
"195015","occ","","","20030","Sorex taylori","species","51667","Blancan","","4.9","1.8","1309"
"195182","occ","","","20060","Sorex taylori","species","51667","Blancan","","4.9","1.8","6330"
"195183","occ","","","20060","Notiosorex jacksoni","species","49235","Blancan","","4.9","1.8","6330"
"195184","occ","","","20060","Beckiasorex hibbardi","species","44487","Blancan","","4.9","1.8","6330"
"195185","occ","","","20060","Paracryptotis rex","species","49801","Blancan","","4.9","1.8","6330"
"195236","occ","","","20062","Sorex meltoni","species","51651","Blancan","","4.9","1.8","2625"
"195237","occ","","","20062","Sorex","genus","40486","Blancan","","4.9","1.8","2625"
"195306","occ","","","20064","Sorex powersi","species","51660","Blancan","","4.9","1.8","1755"
"195307","occ","","","20064","Paracryptotis rex","species","49801","Blancan","","4.9","1.8","1755"
"195327","occ","","","20071","Notiosorex repenningi","species","49237","Blancan","","4.9","1.8","2249"
"195665","occ","","","20120","Sorex","genus","40486","Blancan","","4.9","1.8","1186"
"195756","occ","","","20123","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1186"
"195814","occ","","","20125","Notiosorex jacksoni","species","49235","Irvingtonian","","1.8","0.3","1186"
"195980","occ","","","20138","Cryptotis","genus","40464","Irvingtonian","","1.8","0.3","3514"
"195984","occ","","","20138","Sorex arcticus","species","51630","Irvingtonian","","1.8","0.3","3514"
"195985","occ","","","20138","Sorex palustris","species","51657","Irvingtonian","","1.8","0.3","3514"
"195996","occ","","","20143","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","2419"
"195997","occ","","","20143","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","2419"
"196086","occ","","","20154","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","1194"
"196087","occ","","","20154","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1194"
"196088","occ","","","20154","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","1194"
"196113","occ","","","20157","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","3211"
