"Lartetium,"Lartetium n. sp. petersbuchense",16.435,16.435
"Microsorex,"Microsorex sp.",0.06885,1.6845
"Sorex,"Sorex n. sp. edwardsi",7.6000000000000005,7.6000000000000005
"Soriculus,"Soriculus gibberodon",2.6723500000000002,2.894
"Blarina,"Blarina cf. carolinensis",0.06885,1.05
"Sorex,"Sorex (Drepanosorex) savini",0.4535,4.050000000000001
"Crocidura,"Crocidura douceti",0.00585,0.00585
"Oligosorex,"Oligosorex thauensis",13.789000000000001,18.45
"Crocidura,"Crocidura pasha",0.00585,0.00585
"Sorex,"Sorex (Otisorex) palustris",3.35,3.35
"Lunanosorex,"Lunanosorex cf. lii",4.4665,4.4665
"Crocidura,"Crocidura hirta",0.00585,1.6845
"Alluvisorex,"Alluvisorex chasseae",11.95,11.95
"Crocidura,"Crocidura mariquensis",0.00585,1.6845
"Blarina,"Blarina n. sp. simplicidens",1.05,1.05
"Sorex,"Sorex leahyi",3.35,3.35
"Crocidura,"Crocidura lamottei",0.00585,0.00585
"cf.,"cf. Adeloblarina sp.",18.2,18.2
"Sorex,"Sorex informal arcticus-group",0.06885,0.06885
"Paenesorex,"Paenesorex aff. bicuspis",11.925,11.925
"Sylvisorex,"Sylvisorex megalura",0.00585,0.00585
"Sorex,"Sorex pygmaeus",0.4535,0.4535
"Sorex,"Sorex (Neosorex) megapalustris",1.05,1.05
"Paranourosorex,"Paranourosorex inexspectatus",4.4665,8.470500000000001
"Paenelimnoecus,"Paenelimnoecus crouzeli",11.925,12.375
"Pseudotrimylus,"Pseudotrimylus sp.",14.785,28.55
"Crocidura,"Crocidura cf. suaveolens",0.4535,1.6845
"Sorex,"Sorex cf. praeminutus",1.6845,2.894
"n.,"n. gen. Paenepetenyia n. sp. zhudingi",8.470500000000001,8.470500000000001
"Neomys,"Neomys cf. fodiens",0.06885,0.06885
"Clapasorex,"Clapasorex n. sp. alvarezae",18.45,18.45
"Sorex,"Sorex longirostris",0.06885,0.06885
"Suncus,"Suncus cf. orangiae",1.6845,1.6845
"Crocidura,"Crocidura cf. dolichura",3.057,3.0940000000000003
"Sorex,"Sorex n. sp. subminutus",3.7,3.7
"Alluvisorex,"Alluvisorex n. sp. chasseae",11.95,11.95
"Srinitium,"Srinitium n. sp. caeruleum",25.715,25.715
"Petenyia,"Petenyia robusta",3.7,3.7
"Sorex,"Sorex ex gr. araneus",0.4535,0.4535
"Sorex,"Sorex n. sp. sandersi",3.35,3.35
"Blarinella,"Blarinella dubia",4.050000000000001,4.550000000000001
"Crocidura,"Crocidura darelbeidae",0.4535,0.4535
"Crocidura,"Crocidura esui",1.29985,1.29985
"Sorex,"Sorex cf. minutus",0.4535,1.6845
"Sorex,"Sorex aff. sandersi",3.35,3.35
"Sorex,"Sorex (Drepanosorex) praearaneus",1.29985,3.7
"n.,"n. gen. Tavoonyia n. sp. altaica",25.715,25.715
"n.,"n. gen. Builstynia n. sp. fontana",8.470500000000001,8.470500000000001
"Episoriculus,"Episoriculus castellarini",0.4535,0.4535
"Blarinoides,"Blarinoides sp.",2.894,4.550000000000001
"Mafia,"Mafia csarnotense",4.266500000000001,4.266500000000001
"n.,"n. gen. Neomysorex alpinoides",4.550000000000001,4.550000000000001
"Petenyia,"Petenyia hungarica",0.4535,7.0165
"Zelceina,"Zelceina n. sp. podlesicensis",4.550000000000001,4.550000000000001
"Sorex,"Sorex cf. cinereus",0.06885,1.29985
"Crusafontina,"Crusafontina n. sp. vandeweerdi",7.0165,7.0165
"Blarinella,"Blarinella europaea",2.894,4.550000000000001
"Petenyia,"Petenyia aff. dubia",8.225,11.925
"Nesiotites,"Nesiotites informal sp. 1",1.357,2.6723500000000002
"Sorex,"Sorex runtonensis",0.4535,4.050000000000001
"Crocidura,"Crocidura poensis",0.00585,0.00585
"Blarinoides,"Blarinoides chalinei",3.0940000000000003,3.0940000000000003
"Crocidura,"Crocidura jouvenetae",0.00585,0.00585
"Anourosorex,"Anourosorex kormosi",8.225,8.225
"Crocidosoricinae,"Crocidosoricinae informal sp. 2",25.715,25.715
"Deinsdorfia,"Deinsdorfia n. sp. kerkhoffi",7.0165,7.0165
"n.,"n. gen. Blarinoides n. sp. mariae",3.7,3.7
"Sorex,"Sorex ""araneus""",1.6845,1.6845
"Crocidura,"Crocidura eburneae",0.00585,0.00585
"Sorex,"Sorex n. sp. scottensis",1.05,1.05
"Kordosia,"Kordosia topali",7.0165,7.0165
"Soricini,"Soricini indet.",3.7,3.7
"Limnoecus,"Limnoecus n. sp. tricuspis",14.785,14.785
"Soricidae,"Soricidae informal indet. I",11.925,13.2
"Sorex,"Sorex cinereus",0.00585,3.35
"Soriculus,"Soriculus cf. parva",1.6845,1.6845
"Sorex,"Sorex minutoides",4.4665,4.4665
"Limnoecinae,"Limnoecinae indet.",28.55,28.55
"Paenelimnoecus,"Paenelimnoecus micromorphus",16.435,18.45
"Sorex,"Sorex kansasensis",1.05,1.05
"Crocidosorex,"Crocidosorex antiquus",21.2,21.2
"Sorex,"Sorex dehmi",12.154,12.154
"Asoriculus,"Asoriculus cf. castellarini",1.6845,1.6845
"Anourosorex,"Anourosorex n. sp. kormosi",8.225,8.225
"Suncus,"Suncus haesaertsi",3.0940000000000003,3.0940000000000003
"Tregosorex,"Tregosorex holmani",11.95,11.95
"Blarinoides,"Blarinoides n. sp. aliciae",2.894,2.894
"Paenelimnoecus,"Paenelimnoecus aff. repenningi",10.399999999999999,10.399999999999999
"Cryptotis,"Cryptotis n. sp. kansasensis",3.35,3.35
"Paracryptotis,"Paracryptotis rex",3.35,11.95
"Chimarrogale,"Chimarrogale sp.",0.06885,0.06885
"n.,"n. gen. Paenesorex n. sp. bicuspis",11.925,11.925
"Crocidura,"Crocidura leucodon",0.06885,0.4535
"Sorex,"Sorex shinto",0.06885,0.06885
"Crocidura,"Crocidura cyanea",1.294,1.29985
"Sorex,"Sorex cf. margaritodon",1.6845,1.6845
"Adeloblarina,"Adeloblarina berklandi",14.785,14.785
"Cryptotis,"Cryptotis parva",0.00585,3.35
"Crocidura,"Crocidura aff. suaveolens",1.29985,1.29985
"Crocidura,"Crocidura flavescens",0.00585,1.29985
"Notiosorex,"Notiosorex n. sp. jacksoni",3.35,3.35
"Suncus,"Suncus madagascariensis",0.00585,0.00585
"cf.,"cf. Petenyia sp.",7.6000000000000005,7.6000000000000005
"Sorex,"Sorex alpinus",0.4535,0.4535
"Soricella,"Soricella discrepans",13.789000000000001,18.45
"Pseudotrimylus,"Pseudotrimylus ? sp.",14.785,14.785
"n.,"n. gen. Ulmensia n. sp. ehrensteinensis",25.715,25.715
"cf.,"cf. Asoriculus gibberodon",2.894,8.470500000000001
"Crocidosorex,"Crocidosorex sp.",17.319000000000003,21.2
"Sorex,"Sorex ? sp.",11.95,11.95
"n.,"n. gen. Arctisorex n. sp. polaris",4.4665,4.4665
"Sulimskia,"Sulimskia kretzoii",2.197,4.550000000000001
"Pseudotrimylus,"Pseudotrimylus roperi",14.785,18.2
"n.,"n. gen. Cokia n. sp. kowalskae",8.470500000000001,8.470500000000001
"Blarina,"Blarina brevicauda",0.063,1.29985
"Paenelimnoecus,"Paenelimnoecus sp.",2.894,16.435
"Anourosorex,"Anourosorex sp.",7.0165,7.0165
"Srinitium,"Srinitium sp.",25.715,25.715
"Anourosorex,"Anourosorex squamipes",0.06885,0.06885
"cf.,"cf. Blarina sp.",3.35,3.35
"Sorex,"Sorex n. sp. hagermanensis",3.35,3.35
"Miosorex,"Miosorex meini",4.266500000000001,4.266500000000001
"Hesperosorex,"Hesperosorex n. sp. lovei",14.1815,14.1815
"Episoriculus,"Episoriculus cf. gibberodon",1.6845,4.266500000000001
"cf.,"cf. Crocidosoricinae indet.",15.274999999999999,15.274999999999999
"Miosorex,"Miosorex aff. grivensis",11.925,14.81
"Hemisorex,"Hemisorex ? sp.",18.45,18.45
"Sorex,"Sorex aff. cinereus",1.05,1.05
"Crocidura,"Crocidura cf. obtusa",0.4535,3.9605
"Sorex,"Sorex cf. runtonensis",0.4535,0.4535
"Drepanosorex,"Drepanosorex margaritodon",0.4535,2.894
"Limnoecus,"Limnoecus sp.",11.95,22.615000000000002
