Species	Status	min_age	max_age
Sorex_powersi	extinct	1.8	4.9
Paracryptotis_rex	extinct	1.8	4.9
Notiosorex_repenningi	extinct	1.8	4.9
Sorex	extinct	1.8	4.9
Sorex	extinct	0.3	1.8
Notiosorex_jacksoni	extinct	0.3	1.8
Cryptotis	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Sorex_palustris	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex_cudahyensis	extinct	0.3	1.8
Sorex_lacustris	extinct	0.3	1.8
Sorex_megapalustris	extinct	0.3	1.8
Notiosorex_crawfordi	extant	0.3	1.8
Sorex_scottensis	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Soricidae	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Soricidae	extinct	0.3	1.8
Blarina	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex_monticolus	extinct	0.3	1.8
Sorex_fumeus	extinct	0.3	1.8
Sorex_minutus	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina	extinct	0.3	1.8
Notiosorex_crawfordi	extant	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex_cudahyensis	extinct	0.3	1.8
Sorex_lacustris	extinct	0.3	1.8
Sorex_megapalustris	extinct	0.3	1.8
Sorex_pratensis	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_fumeus	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex_cudahyensis	extinct	0.3	1.8
Sorex_lacustris	extinct	0.3	1.8
Sorex_megapalustris	extinct	0.3	1.8
Sorex_pratensis	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex_palustris	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_scottensis	extinct	0.3	1.8
Sorex_kansasensis	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Sorex_kansasensis	extinct	0.3	1.8
Sorex_palustris	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Sorex_palustris	extinct	0.3	1.8
Sorex_scottensis	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Sorex_pratensis	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
