"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"186307","occ","5970","","18284","Ursidae indet.","family","41301","","Ursidae","family","41301","Barstovian","","15.97","13.6","6294"
"186435","occ","6007","","18304","Agriotherium schneideri","species","43836","","Agriotherium schneideri","species","43836","Hemphillian","","10.3","4.9","3013"
"186492","occ","","","18310","Ursavus pawniensis","species","52599","","Ursavus pawniensis","species","52599","Miocene","","23.03","5.333","6198"
"186575","occ","","","18320","Plionarctos edensis","species","50584","","Plionarctos edensis","species","50584","Late Hemphillian","Blancan","10.3","1.8","6086"
"186738","occ","","","18342","Ursidae indet.","family","41301","","Ursidae","family","41301","Hemphillian","","10.3","4.9","1800"
"186881","occ","","","18359","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","3510"
"187186","occ","","","18439","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Clarendonian","Hemphillian","13.6","4.9","6263"
"187288","occ","6245","","18443","Plithocyon sp.","genus","41323","","Plithocyon","genus","41323","Barstovian","","15.97","13.6","1976"
"187640","occ","","","18505","Agriotherium n. sp. schneideri","species","43836","","Agriotherium schneideri","species","43836","Serravallian","","13.82","11.62","2609"
"187760","occ","","","18532","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Late Hemphillian","","10.3","4.9","1976"
"188047","occ","","","18573","Plionarctos sp.","genus","41322","","Plionarctos","genus","41322","Late Hemphillian","","10.3","4.9","1976"
"188090","occ","6548","","18579","Ursidae indet.","family","41301","","Ursidae","family","41301","Early Hemingfordian","","20.43","15.97","6294"
